experiment_name,study,param_name,param_value,val_accuracy,macro_f1,training_time,epochs_trained
lstm_rnn_units_rnn_units_64,rnn_units,rnn_units,64.0,0.38538538538538536,0.15498116825081723,320.91414308547974,19
lstm_rnn_units_rnn_units_128,rnn_units,rnn_units,128.0,0.9259259259259259,0.90649290735772,1115.8101427555084,50
lstm_rnn_units_rnn_units_256,rnn_units,rnn_units,256.0,0.9109109109109109,0.8925106162973212,2037.8150794506073,50
lstm_dropout_dropout_0.0,dropout,dropout,0.0,0.9119119119119119,0.8912973430659125,901.5092575550079,41
lstm_dropout_dropout_0.2,dropout,dropout,0.2,0.501001001001001,0.4517371328029694,1122.5819084644318,50
lstm_dropout_dropout_0.4,dropout,dropout,0.4,0.8498498498498499,0.8271969955992883,1036.6915595531464,50
lstm_batch_size_batch_size_16,batch_size,batch_size,16.0,0.9169169169169169,0.8968728688573062,1855.9154784679413,50
lstm_batch_size_batch_size_32,batch_size,batch_size,32.0,0.9159159159159159,0.8974943373776446,1048.8699884414673,50
lstm_batch_size_batch_size_64,batch_size,batch_size,64.0,0.924924924924925,0.9050537548304177,780.6290302276611,50
lstm_batch_size_batch_size_128,batch_size,batch_size,128.0,0.9069069069069069,0.8887287581143736,527.3025155067444,50
lstm_learning_rate_learning_rate_0.01,learning_rate,learning_rate,0.01,0.8598598598598599,0.8328338067430251,1149.2802529335022,50
lstm_learning_rate_learning_rate_0.001,learning_rate,learning_rate,0.001,0.913913913913914,0.8949098593429504,1070.936182975769,50
lstm_learning_rate_learning_rate_0.0001,learning_rate,learning_rate,0.0001,0.6546546546546547,0.6459476658325575,1066.7869992256165,50
lstm_epochs_epochs_25,epochs,epochs,25.0,0.8063063063063063,0.7828069820206083,530.2122716903687,25
lstm_epochs_epochs_50,epochs,epochs,50.0,0.37537537537537535,0.17067222940791824,440.7585356235504,21
