experiment_name,study,param_name,param_value,val_accuracy,macro_f1,training_time,epochs_trained
model_architecture_model_type_lstm,model_architecture,model_type,lstm,0.9019019019019019,0.8781726641456061,1022.7934453487396,50
model_architecture_model_type_gru,model_architecture,model_type,gru,0.26326326326326327,0.09186989743637197,473.2430799007416,28
model_architecture_model_type_bilstm,model_architecture,model_type,bilstm,0.9114114114114115,0.8893606658752672,935.4308638572693,50
rnn_units_rnn_units_64,rnn_units,rnn_units,64,0.2827827827827828,0.12196938340200424,466.93802428245544,30
rnn_units_rnn_units_128,rnn_units,rnn_units,128,0.3408408408408408,0.09344313432979794,459.02169942855835,24
rnn_units_rnn_units_256,rnn_units,rnn_units,256,0.34784784784784784,0.09044837854564476,706.5510499477386,20
dropout_dropout_0.0,dropout,dropout,0.0,0.8628628628628628,0.8131719650569588,775.5461392402649,50
dropout_dropout_0.2,dropout,dropout,0.2,0.26576576576576577,0.12030773846640513,496.95010709762573,28
dropout_dropout_0.4,dropout,dropout,0.4,0.34984984984984985,0.09472226938363569,422.8280289173126,24
batch_size_batch_size_16,batch_size,batch_size,16,0.35135135135135137,0.09062342773614844,555.4683609008789,18
batch_size_batch_size_32,batch_size,batch_size,32,0.3433433433433433,0.09037846428702827,432.30497574806213,24
batch_size_batch_size_64,batch_size,batch_size,64,0.34884884884884887,0.09104924031269017,291.04903626441956,22
batch_size_batch_size_128,batch_size,batch_size,128,0.35585585585585583,0.29163539385384124,487.08434796333313,50
learning_rate_learning_rate_0.01,learning_rate,learning_rate,0.01,0.9204204204204204,0.9020806277836297,939.3162145614624,50
learning_rate_learning_rate_0.001,learning_rate,learning_rate,0.001,0.34234234234234234,0.0903507590167351,438.91483211517334,24
learning_rate_learning_rate_0.0001,learning_rate,learning_rate,0.0001,0.05105105105105105,0.029586531673235498,565.1545116901398,30
epochs_epochs_25,epochs,epochs,25,0.10510510510510511,0.032802538180842646,358.79698157310486,19
epochs_epochs_50,epochs,epochs,50,0.13913913913913914,0.047123920800927276,346.54787039756775,20
